x = Soldered,VALUE,QUANTITY,DETAILS,x = In Stock
,20pF,1,0805,
,3n9,1,0805 C0G or NP0 – get a good one,
,10n,2,0805,
,100n,14,0805,
,1u,1,0805,
,10uF,3,0805 25V or higher voltage rating,
,,,Mouser:963-TMK212BBJ106MG-T or,
,,,similar,
,270R,1,0805,
,470R,1,0805,
,1k,5,0805,
,2k2,2,0805,
,3k3,1,0805,
,10k,13,0805,
,22k,1,0805,
,27k,4,0805,
,30k,1,0805,
,39k,2,0805,
,49k9,1,0805,
,51k,1,0805,
,62k,3,0805,
,100k,9,0805,
,267k,1,0805,
,470k,2,0805,
,499k,2,0805,
,TL072 or TL082,3,Soic Tayda: A-1139,
,TL074 or TL084,1,soic Tayda: A-1140 or A-1137,
,TL431,2,sot23-3 see notes,
,78L05M,or,78L05 1 Tayda: A-176 or A-629,
,79L05M,or,79L05 1 Tayda: A-4676,
,LL4148 diode,1,sod-80 Tayda: A-1213,
,SSI2131,1,,
,Eurorack 10 pin power,,,
,connector,,,
,1,Tayda:,A-198 cut to size,
,"S1JL, Schottky, power",,,
,rectifier or 10R,,,
,2,SMD,SEE NOTES #1. dot on PCB,
,indicates,CATHODE,(stripe on,
component).
,3.5MM SOCKET Kobiconn,,,
style
,10,Tayda:,A-2563 or Thonkiconn Jacks,
,(PJ301M-12),from,"Thonk, Synthcube or",
,Modular,Addict,,
,100k pot,5,Tayda: A-5623 or A-4729 or similar,
,10k pot,4,Tayda: A-5622 or A-4728. can use 100k,
,if,you,want.,
,5k trimpot,3,Tayda: A-597,
,10 Pin 2.54mm Single,,,
,Row Female Pin Header,,,
,3,Tayda:,A-1306,
,40 Pin 2.54mm Single,,,
,Row Pin Header Strip,,,
,1,Tayda:,A-6771 or similar. Snap into,
,four,10,pin sections.,
